	sentiment	content
5655	worry	 i am lost  please help me find a good home 
5656	surprise	just waking up ahh i have a headache
5657	worry	the plan to not spend money is not going well
5658	surprise	 its annoying bc my hair products dont have perfume but smell like the ingredients in them
5661	sadness	why do you hurt me does it bring you joy to see me cry you know i love you more then anything and yet u break my heart everyday
5662	sadness	my feet are killing ive walked miles in search of an art shop doesnt seem like ealing has one
5664	surprise	breaking news gm shares are currently trading below 1 00 at only  88 per share
5665	fun	had a blood test today    wasnt too bad really  needed to dash 2 starbucks after to revive my spirits with a nice iced latte amp a bun yum
5667	neutral	my sensors dont seem to want to last for more than 3 12 days
5668	fun	 hey hey im only finishing on the 10th of june
5669	worry	 first of all i love your picture picture whore  amp the boyfriend  jackie  fml  why havent you embraced the phone amp
5670	fun	really wanted to go to that gig tonight
5671	sadness	i want to see drag me to hell  but i get the feeling none of my friends will go w me
5672	neutral	i hope my morning show doesnt get cancelled
5673	worry	i feel like crap right now and i have one more month of school left  fml hard
5675	surprise	doesnt think  will be following me 
5676	worry	dangling belly rings are a bad investment the cutest ones always pop
5677	worry	 what time you close today is it the last day today or tmr i may shed a tear
5678	worry	  sorry to read about your layoff   ill keep you in my thoughts 
5683	neutral	 i guess its easier said than done for some people myself being one of them unfortunately
5684	worry	would rather be with the bride doing last minute wedding stuff instead of being stuck behind a desk until 5   someday 
5685	worry	sometimes it hurts that pets cant talk back to us  what if they are in pain  how would they tell us 
5687	sadness	why does zero have to have thomas in it
5688	sadness	 it wouldnt let me download it cos it said im the uk  i had a little cry 
5691	fun	fall out boy are in my year book  but only 
5692	surprise	i sunburnt through factor 30
5695	worry	learned a lesson the hard way  lost my usb stick and backup was a month old
5696	neutral	 alas no its just a normal night  monday is quiz night
5697	sadness	 yeah it can be tough some times 
5699	worry	its almost june and im bundled up because of this nasty ass weather i just want to lay in the sun on the patio near the roses
5700	worry	 wow thats impressive luckily im not in rush but i feel for friends who arent getting any younger but cant move house  tricky
5701	fun	i finished  s zombie chronicles a few days ago  it was bittersweet  now i need something new for the gym
5703	worry	my car is almost definately going to be written off the garage rang and said the work will cost 3k and its up to the insurance co
5704	sadness	another day in jury duty 
5707	worry	sitting at work waiting for this day to be over with  it is always fridays that take forever  wish the weekend would get here already 
5708	neutral	 my first thought too ive never even watched dragonball
5710	neutral	 i do that all the time
5712	fun	 awww  dont mean to sound like an overgrown age 37 baby but im still stick  not as bad as yesterday but still bad 
5713	fun	 because the one i was having at that moment woke me up 
5715	worry	got woken up early again  i kinda wana just chill today but theres so much to do
5719	anger	working  god i hate it haha
5720	worry	feeling sick at stomach today
5722	worry	i woke up this morning thinking it is saturday
5725	worry	 lol well these girls didnt and my girl made me tip the lady and she put her boobies in my face
5729	worry	5 hours to go and no football again for me
5730	worry	i need some serious cheering up
5731	love	not feeling it 2day just left the glasses on  peace and unity 
5733	sadness	is sitting at home wishing that i didnt have to work today  ask for it off and still have to work
5734	fun	 thanks for the follow wish i were out of my 95   plan to open a shoppe in tc when the economy turns 
5735	neutral	my mind automatically wakes up at 7  huge fail  its summer  good morning nonetheless  gonna get ready for work now 
5737	neutral	venus is out at the french open
5738	sadness	on the road again  i miss my traveling traveling partner
5739	worry	 very excited although her train is going to be delayed
5741	worry	no school again  this time cuz im sick 
5742	fun	  nice start to the holiday
5744	worry	i need a bigger mp3 player  even if it pains me to say it
5746	neutral	honestly i cannot figure this twitter thing out
5747	fun	no one talk to me anymore on here
5748	sadness	i wish i could go to meet in the middle tomorrow 
5749	worry	 i finally figured it out i felt bad canc  group but  just wanted to take meds and do nothing  back still hurts   
5751	neutral	is getting ready for work  working all weekend
5753	neutral	experimenting   with puppet again  i think i just wiped my drive on my workstation
5756	fun	tgif its a gorgeous day in reno today  and im stuck inside 
5757	neutral	 well what about tomorrow i miss you
5759	anger	fuck you ipod for freezing when i need you most
5760	fun	 thanks lady  bummer for sure 
5761	surprise	now theres a fly in my room
5762	worry	my student just walked in balling   she just witnessed her dog getting hit on the street   i dont know what to do to cheer her up 
5764	neutral	 how was the hn meetup i thought about going but decided to bail at the last second
5766	worry	missing him so much  why does he have to work  cant he just spend time with me and get paid for that lol
5767	sadness	oh man my fiance just got off work and i start mine in 1 hour so not fair 
5768	worry	waiting for minami then london and cobra  im going to miss her loads
5769	worry	i just want my car back 
5770	worry	 forgot about the traffic  heading to foxford in mayo and the lovely pontoon tomorrow
5771	worry	woke up  walked out of my room and a bug flew in my eye
5772	worry	and i wanted us to leave at 1245 to do a 1 p m  showing staff retreat mini
5773	fun	at work  then back to my babys house
5774	neutral	 yes 7 50 here thanks for the change obama  i have to start mail ordering again
5775	worry	turned my alarm off this morning because i thought it was saturday  had to rush to get ready for work because its def not saturday   fail
5776	anger	 me too i hate revision
5777	sadness	 i wish i was in va too
5778	neutral	 i was watchin tv yesterday and the media is on u  u were number five i think for worst beach bodies because of ur butt
5780	worry	has anyone else woken up one day and felt like they acquired near sightedness over night  everything is blurry all of a sudden 
5783	sadness	   awww that wasnt very nice 
5784	neutral	 i didnt read the details so that may be it  sara jayne is a kids show so it cant be that exciting 
5787	neutral	now to go home and cry
5790	sadness	 i dont think ill ever have one of those again
5791	surprise	im not going to my dads tonight  and hes got a 12 foot pool  he has to tell me that hes got things when im not going twat 
5792	worry	 yes i made the sign when i noticed it missing on sunday so far no luck  its now unlucky japanese cat 
5793	anger	  o2  train from bristol to london  its terrible  and no wifi
5795	sadness	 there is no sun here in florida its all rainy and cloudy 
5798	worry	 the lens was 70mm  i couldnt
5800	fun	visit 2  la ventana de los cielos foundation was pushed bck 2 weeks  was so excited 2 go amp meet the kids  ill have 2 wait another 2 wks
5801	fun	picking up a couple toys tonight d300 and 50mm f1 4 yay d just for the weekend though
5803	fun	 haha i was just talking about that to my colleague  i have 539 dms only 15  20 are actual messages and not spam
5804	love	 surely you knew this before hand a good book or a hand held has to be essential  just no psps unless you have a charger 
5806	sadness	 cant sorry  and dont call me lame 
5808	sadness	 yep sadly i only had 10 min before a meeting
5811	surprise	final thought for the day does deodorant really make your lungs bleed when inhaled constantly certain females paranoid about bo
5812	fun	is thinking wow i survived freshman year mission accomplished now sophomore year
5813	worry	ouch my back  man im sick
5814	worry	no theatre next year  stupid schedules
5815	worry	 i am lost  please help me find a good home 
5816	anger	 no news on the kid  they cant find the parent
5819	neutral	so im at the point now that it has become apparent that having a degree means jack shit 
5821	worry	my shirt is a fuzz magnet today and i feel totally uncomfortable
5822	neutral	trying my best not to share this lovely head cold
5823	worry	art history quiz   i didnt study
5824	neutral	ive locked up a mac once or twice in my time  ok literally once or twice 
5825	worry	  i gave up cable in these tough economic times   it was either cable or shoes and you know what cable lost
5828	anger	stupid hip i hate you and i cant even break in my new kicks  grrrr
5829	sadness	tgif  i wish that saying applied to me but i work saturdays
5833	fun	 wish i was in dallas  can i still say ow lol hey  u spelled my name wrong  its all good  thanks for ff love
5834	worry	 unfortunately i didnt see any of that spreading of poo
5836	worry	woo hulu desktop my poor mac is kinda struggling with it though poor little core duo just cant keep up
5837	worry	why are matters of the heart so complicated
5838	fun	my son had surgery yesterday so mommy and son time wont be as long today
5840	neutral	 do you think the bead crumb navigation will return to the new fusion studios i really miss that at the top of each item 
5841	sadness	damn i miss my bf
5842	neutral	i did many things but missed tweeting
5843	anger	 no i was too slow  i hate getting the trailhead then not getting in 
5845	worry	 sorry to hear that carol 
5847	worry	 it was jam all over the island till im havin migraine now
5851	neutral	forgot the montel quote  and it was a good one 
5852	worry	 so where r u spinning now that the hookah is r i p 
5853	worry	 awww busy day for you then i have to get my big mac ass outta here work beckons  ill talk to you later 
5856	fun	 flew brisbane  lax today   great flight   love the lights   shame about one drink limit though
5857	worry	 thats what doting husbands are for lol  i hope that once my braces go on i can eat normally again
5859	anger	just thought about how unfair 3 ppl have been 2 me n got depressed again  haters
5862	worry	 did you decide it is a sprain mine has been bothering me again but never had it checked out
5864	worry	 how do i make it better after being robbed of 1m 
5867	fun	up and at em  got a big to do list for today and hubby has to work   but then weekend is going to be just us  i think
5869	neutral	   does she like it or does she roll her eyes  now im curious as hell  good singing is a real treat as far am im concerned
5872	sadness	im going to stop tweeting and do my lsat studying now 
5873	sadness	 i wish i could have a pole we got no space for it  maybe i should throw out some furniture and get a pole
5874	sadness	what am i going to do without my   skype haha
5875	surprise	oh man  i was going to connect my old school nintendo to play mario games  and is not in the bag i gotta search for it 
5876	sadness	i miss my jeep  now i have to bum a ride to the dreaded horrid walmart  boo 
5877	sadness	damn fallout 3 is a hard game
5878	worry	one of my cats is sick
5879	anger	a thursday  is that really necessary   have u ever heard of school and horrible mums
5880	neutral	sachie yna doesnt know our password yet
5881	sadness	  chroma key coolness   when are the cumulus seminars going online couldnt see the live feed here
5885	surprise	argh i cant avoid spelling bee spoilers anywhere now i know the winning speller and word before having actually watched the bee 
5886	sadness	i think im about to break my own heart  as emo as that sounds  meh 
5887	neutral	is tired n wants to sleep in her own bed
5888	sadness	dammit i cant watch stadium music
5889	fun	just got in a nasty argument with someone i normally like very much   she doesnt forgive well either
5890	anger	we waste way too much paper  the office  for nothing worthy that almost disgust me
5891	neutral	 love it really its simple i think of a word and put twi on the front i should be more clever
5895	sadness	 i aint blanco either yo 100 puerto rican mami yo show muy amor yi tu but yo no se 
5897	love	 would love it if you guys toured here really philippines tour
5898	sadness	its raining  i cant go out to jogging  i have to do it in my house gym 
5900	neutral	so i really want to be home right now 
5901	sadness	thought i was going to have a fun day
5903	neutral	is a hot hell of a mess  i wish i would have gone to arlington for zeta
5904	fun	 i know how you feel  have a lovely relaxing weekend
5905	sadness	felt one tooth without the braces bracket  i got soooo hype
5907	neutral	is moving out of nesbitt 
5908	worry	im so disgusted that my assumptions regarding what happened in harlem last night were 100 correct without reading the story first 
5909	worry	  oh foa real  i didnt really keep up with what was going on  too many diff storys n stuff hey   wish he neva did it
5910	worry	my poor wife   im laid up for another 6 hours on doctors orders then cant do much and she is dealing with screaming baby
5911	surprise	  youre mean to me  youre gonna have to have pizza tonight or it will go off 
5912	fun	 oh dear  im sorry but i laughed  
5916	fun	 i dont  i hope it takes them a good long while to recover 
5917	sadness	this phyllis hyman unsung story is so sad
5919	neutral	sites that republish my blogs feed often end up higher than my blog on google search results
5920	surprise	  when are you coming to indianapolis  
5922	fun	 we told you guys   we are just going for a while to get our passes then we are going to see up downtown disney yay
5923	worry	moving makes me sore   dunno if we are gonna make it   its getting close
5925	worry	my shoes hurt my feet
5926	worry	loving the warm weather  but can we get some rain please my water bill is going to be bad
5927	sadness	at work with a huge headache
5930	sadness	 oh dear  thats just  disturbing    the coffee connoisseur in me just died a little 
5933	sadness	youtube isnt working and i wanted to watch britains got talent   im debating about having a pity party 
5936	neutral	 you cant make it down to nyc at all when im there huh
5939	surprise	wow that was fast next up soderling or ferrer  gilles simon lost
5940	sadness	my knees are sore after physio
5941	worry	i hate having to put my toddler in a disposable but her rash needs ointment  i hate her having a rash even worse 
5942	surprise	off to dollarama  i wish i had a new job
5943	anger	im tweeting  this is so hard  i dont get it 
5944	neutral	looking for a show to turn my brain into mush so it doesnt hurt anymore  any good free online ones you know of
5945	sadness	my coffee got cold blah
5946	anger	 you look nothing like your twitter avatar
5949	sadness	why does she keep trying to hurt me arent the tears ive cried in the past few months enough
5950	sadness	it is always sunny on days when i cant possible be outside   life is out to get me
5951	worry	 get over on his mom amp now i feel horrible he must think i am   thats not what i meant  just thought itd be better than the brunt 
5952	worry	  really i look like a boy i need someone to do my hair
5953	worry	14 more days with slow internet
5955	neutral	 im in ad for another week visa work
5956	worry	 will we be seeing mcfly in the philippines soon
5957	sadness	 i cant yet back ive run out of texts  ill ring you laters xoxo
5958	worry	tired with a headache  me no like sunshine
5959	sadness	 im on blip but cant get it to work on me iphone
5962	fun	listening to music box   when mariah could still sing
5964	anger	hate living down here in fl  missing ga like crazy like they say you dont know what you got till its gone  ga on my mind
5965	fun	managed to finally get through to someone who had left a message earlier today  old dog already put to sleep
5966	fun	finally on my way home
5968	sadness	 revising as uni exams are looming
5970	worry	im going to miss the seniors so much  dont goo
5971	worry	poor nicole just absolutely destroyed her cell phone
5972	worry	i was on time three shifts in a row   but i woke up at 840 and works at 9  five minutes late ugh 
5974	fun	finished breaking dawn last night  i managed to finish those 800 pages in 3 days  it was so good im sad that im done w twilight saga
5975	neutral	kate is leaving me all by my lonesome
5978	sadness	am about to sell my medieval trading pavillion  v sad
5979	worry	i really  should have gone to the chiropractor this week     and today  my neck hurts so bad
5980	sadness	ordered a new computer unfortunately it wont get here until the end of june 
5981	sadness	two dozen roses sent  overnight and delivered this morning  just found out the recipient is out of town sad
5982	love	dont you hate it when youre left with one slice of bread left in the bag half sandwich 
5983	fun	i get to drive my dad to the airport so he can fly to vegas for the wsop  i wanna go to vegas 
5984	worry	  these holidays are soo boring 
5985	sadness	ewww just printed my new i d badge thingie 4 work n eww my picture  i took so many n they were all ugly
5986	fun	just about to say goodbye to  and  two of the best interns that elevate have ever had
5988	anger	i have geographie next  and i hate it
5989	worry	is wondering if my ankle will ever stop hurting
5990	worry	i guess this is soul searching time for me since im home alone amp no ones talking to me
5991	sadness	 well atm anyway im only managing cos i have no musical talent ps horrible thing to say bout rove
5992	fun	has two tickets to amadou and miriam for tue  june 2 that i cant use  25 each to anyone who wants em  thats face value  should be good
5994	fun	this week flew by   want to go see up soooo badly this weekend
5995	neutral	 stinks  what do you do anyway
5996	surprise	took the cutest pics of andy yesterday  but i dont have them   used my bros fancy dslr amp didnt have time to upload them  i want my own
5997	worry	this really hurts  and this really sucks  i dont know what i can do to fix all this seriously 
5998	neutral	 i really wish i could convince brandon to move somewhere like that  all he wants to do is move to lexington 
5999	worry	i forgot to put on sunblock before getting in the car
6001	worry	 i always hope they will die out but then i see the the old ones and it makes me sad
6002	worry	i didnt go to the gym today and i feel bad
6003	worry	i guessed my leg havent healed from the old injuries  but i can still run though and kick ball haha  but will sometimes fell a sharp pain
6004	neutral	and so to london in a car thats about 500 degrees with no air con
6006	sadness	 yeah me too  but there isnt any prom here in germany although school is almost everywhere the same 
6007	neutral	going home to get clothes
6008	worry	paypal hates me   it refuses to let me verify my account 
6009	worry	has at least 30 bug bites on her legs
6010	worry	the commies at their finest youtube and blogger are blocked in china  no updates from us while we are in china   but great wall conquered
6011	neutral	 whats the name of the mixtape my mixtape connect moved to texas so i gotta find a new guy
6013	sadness	 i have been failing at cooking lately  makin me sad  duno how to cook for less than an army  i need to practice flour tortillas 
6014	worry	 sounds painful   sorry you got hurt  and may i ask how this happen
6017	sadness	god opened the clouds and said i hate you josh
6019	worry	 hi frenchie  ill do that later  p
6020	worry	 well there go my peace corps prospects 
6022	neutral	gee im totally hatin this  like for real  i mean like duh  ive studied enough and all that i need is refreshing tonite  hard 
6024	sadness	female and male 3 year old labs looking for new home  family is loosing their home  both must stay together  contact me if interested 
6025	worry	 i cant find it on youtube   only the concert versions help
6028	neutral	wishes he could be with that special someone 
6029	worry	forgot how much i hate pizza delivery and manalapan and marlboro scum
6033	sadness	 so sorry i missed it
6034	anger	i hate that i am so stinkin tired everyday  its so hard to get up i thought i was supposed to start getting energy back now 
6036	fun	 i have to dj 2 gigs on 620  no bk hh fest for me  so please keep me posted on live dates
6039	worry	 am i not good enough
6040	neutral	well here i go off to work
6043	worry	michael porter is haunting me again  ugh  the five forces  but i dont remember the other 9 strategies for competitive advantage 
6046	neutral	all cash  and looking for trades cant find any
6047	sadness	 bummer   was going to try and make it other commitments im afraid got into the way   next time hopefully
6048	fun	 totally except we cant ride on the sidewalk like when we were kids   a lot more safe than on the road with crazy drivers 
6049	fun	i hope i can find a store to take us
6052	neutral	 a wet and dirty one now
6053	fun	looks like another sober weekend ahead 
6054	worry	 tried to edit the page but couldnt add my name  can you pop me on the list please
6058	sadness	why does my life suck
6059	love	 glad its nice there  gray skies and rainy in wisconsin 
6060	anger	is waiting yet again  please just let this to be over
6061	sadness	ugh poor beautiful girl  went in for new tires and inspection sticker  now theres a 590 repair and still no tires 
6062	worry	 that and being so careless with her vocals 
6064	worry	irritated that i can send emails but not receive them
6066	sadness	conference call with hp   they gave me an invalid pass code so i cant attend
6067	sadness	 the thought of splitting the estate is depressing of course kidding i dont like the thought of my parents dying
6068	sadness	 im dead bored  but also dead poor student life is a piss take
6069	neutral	 weve got a pool still boxed up because i need to level a suitable patch of ground before we can set it up 
6072	fun	its friday and the sun is out but im working inside 
6075	worry	i hate fallout 3 it keeps making me jump im also low on health money ammo and food  dont worry ill get through it 
6076	sadness	so annoyed i missed mitch benn  lemon tree  damn you whats on
6077	sadness	oh no i just crashed my ball pump
6078	worry	 its true i can never be like  never
6080	love	oh noes my puma hoodie is coming apart  i love this thing
6081	neutral	i need to go to sleep before 4am tonight     so exhausted 
6083	surprise	 when it rains it pours  how true is that im so sorry  i hate those kinda times 
6084	worry	sad day  told my students this is my last year here  a lot of crying since 
6085	worry	slovakian country side is a refreshing change compared to tarmac and cars but i am a city boy and need the tarmac
6087	worry	 dont leave forever well miss you too much
6088	neutral	 yes it seems that way  page not found
6090	sadness	oh  i am just so tired 
6091	fun	 dont know yet  no word    hopeful though and some good stuff happening lately so im getting excited
6095	neutral	 no  its a bug  in coding  go into the forum then do reg  let me know if that work
6096	sadness	my poor phone is nekkid without its cover 
6097	worry	according to  a quarter of families under six live in poverty 
6098	neutral	sorry im not using tweetdeck its not letting me tweet today
6100	neutral	 i ate some hot food
6101	worry	 think of the prize at the end  so sorry to hear that though 
6103	worry	dont you just hate when you are craving something to eat and then you go get it and end up disappointed ugh 
6104	neutral	 thats no fun  server change 
6105	neutral	 haha im just going to turn off these things but then i cant tweet from my phone  stupid spammers
6106	worry	 im so sorry i hope shes ok  xxx
6109	fun	just got up  need to leave for class in a hour 
6110	sadness	well thats that then  exam failed and bsc gone
6111	sadness	 grrr people suck  i cry when animals die on nature shows   these people are sick  no hunting endangered species
6112	worry	archie andrews what were you thinking veronica
6114	worry	have hardly worked out in the last two weeks but am losing weight   fear im losing muscle  just made doc  appt  for injured foot
6115	sadness	is taking a deep deep breath
6116	neutral	disneyland was a blast yesterday now back to work
6117	worry	i just saw a load of ambulances amp police cars amp a car smashed up with a roof lying in the road   quot  thats 1 man dead 4 sure      
6118	neutral	brilliant day today got the car washed and got a washing done just have to go to work in an hour
6120	worry	according to  a quarter of families with children under six live in poverty 
6121	sadness	 no its annoying and makes us girls that follow sports and are knowledgable look dumb
6122	worry	 im having a hard time using hulu  have u heard of anyone having problems that uses windows vista
6125	worry	 sorry jj i missed that post  ill make sure do so next time 
6126	worry	half my class just called me retarded it hurt for real
6127	worry	yay playing a show tonight boo its gonna soggy and im at work right before playing
6129	fun	 i havent had a good homemade flour tortilla in ages 
6130	worry	i know im wrong   just give me one more chance   senti   
6131	neutral	 it was only once for my big brother and im done now
6132	fun	 aw no feel better mandy hope you arent getting sick  at least we know a nurse hehe
6134	anger	shower  then back to bed  so sick still 
6135	sadness	everything is annoying me today
6136	neutral	anyone got any goss yet on the supernatural convention in birmingham been waiting patiently
6138	worry	 cheers mate still getting over wednesday  you ok you should be you are an incredibly wealthy man
6141	sadness	 lucky girl i work all day tomorrow and maybe even monday
6142	worry	kinda bummed that im gonna miss s return to bg  now ill never know what its like to make love to  
6144	worry	 and it never arrived  have to wait until monday now
6146	sadness	i need some cheering up
6147	neutral	listening to the legally blonde musical soundtrack  lamenting not going anymore  perhaps i will buy a nosebleed seat and go alone 
6148	neutral	 now cash u kno im not a hater jus upset i dont have my update yet
6149	worry	ugh im so sleepy  i think im still kinda sick
6150	worry	venus williams is having a horrible day at the office
6151	sadness	  not pimms in a can
6152	neutral	i am dreading shopping for a swimsuit
6153	sadness	soo tired  still kinda angry that i missed the concert
6154	sadness	stupid competition stuff keeps getting in the way  but i am going to get some words in today if it kills me   
6157	love	 its 12am   and i are still up sending you as much tweets as we can philippines tour please
6161	anger	im grounded tonight  i hate stupid silent mode
6163	anger	then back to fucking school
6167	neutral	 um mr  deadly sir   can you please follow me on twitter  
6168	worry	guess ill be running in a little bit  accidentally fell asleep
6170	fun	ok im going outside wish i was playing basketball  oh well 
6171	anger	 its a modded 360 so you cant send it back  that red ring of death sucks  it took weeks to get mine back from microsoft 
6172	worry	 my dennys shut down in the winter   i have to do 50 miles to get to one now 
6174	sadness	no launch today  teacher changed plans and we watched a stupid move about tesla
6176	sadness	my blow torch has broken  this is a real bummer
6179	worry	so yeah things arent going so well for me  im getting to feel like i havent felt in a long long time 
6180	neutral	admitting that i dont like action plots and i do like romance plots always makes me feel like im setting back the feminist cause 
6181	neutral	 nothing really  sooo bored  xx
6183	anger	my new car is already giving me problems  that cant be a good sign 
6185	neutral	hopefully im getting my new windows tomorrow  still using my mums lap  birthday tomorrow eve and facebook doesnt work somehow 
6186	fun	 thats great i was never so good at the jump roping 
6188	neutral	i want my real keys back
6189	worry	hmm  the new sports catalog and card jitsu updates are not appearing for me
6190	worry	soo tired couldnt get enough sleep
6191	worry	on the monday so i wont be able to be with you  i love you
6192	worry	going home  with sore eyes
6193	worry	 ive been up most of what normal ppl consider the night   no problem going to sleep but nightmares been waking me up 
6194	worry	the day i was planing on doing my work i havent   i leave everything to the last minuet  
6196	sadness	so sad im going to miss seeing pennywise again this year
6198	worry	one of the estate agents next door just caught me singing along to wham
6199	fun	 i guess u ain like me den  my hair cut short   lol
6201	surprise	 wow you still havent gotten them
6203	fun	 oh no not difficult  its just nuts thats how you have to market yourselves on home turf
6204	worry	 ive tried to and nothing has worked  i dont think hes all that bothered sigh
6205	neutral	wave would trend higher that bing
6206	worry	 i wish i can go  but im not in us
6207	love	 i need to watch star trek
6211	worry	 so u are very burnt  sorry back or front burnt
6213	sadness	  not the same  can we party tonight jig
6214	neutral	 philippines tour please please please
6216	anger	 that link isnt working for me for some reason
6217	worry	trying to get some work done not too happy about work situation
6219	neutral	 missed the cutoff for the free chocolate  eh well bikini season is coming 
6220	surprise	officially out of my apt  learned some stuff about the crazy neighbors that used to live across the hall scary
6221	sadness	sooooo i just dropped my phone   dont text or tweet me im currently banging my face against a spike covered poison ivy infested wall 
6222	surprise	oh no my kindergarten teacher died  mrs  collinson always remembered every student she ever had  loved that lady 
6225	neutral	so many wires to sort out
6226	anger	just dropped my sistah off  lax     fb
6227	surprise	the chicken noodle soup i made for lunch to feel better just burned my tongue      not a good day 
6228	worry	sitting on the decking reading psychology notes with my ipod and my dog  its far too warm
6232	worry	 did you go was it good i was in center parcs  who else went xxxxxxx
6234	sadness	is enjoying a yummy salad but missing her avocado  thats what happens when your husband does the grocery shop 
6235	love	really want to go to the nets
6237	fun	missing  lol  plaid bud  haha  damn i cant do the bg right 
6239	anger	has not finished the bio mols mind map  stupid sheet hid sections from me on the back
6244	worry	traded her ipod for my brothers cellphone  my phone died e
6245	worry	its 82 degrees and gorgeous out  and im stuck in the library because i have a midterm in 2 hours  so lame
6247	worry	sad to be leaving so soon
6248	worry	i feel like shit cause i couldnt sleep last night and went to sleep at 320 n bk up at 6  soooo tired
6249	neutral	 please dont forget french fans  we are here 
6250	worry	 well i took it in early 00 graduated in 01  we were the final stage guinea pigs  it seriously is a waste of time 
6251	anger	worst day ever  and its only noon 
6252	neutral	i didnt get the job  but i will keep applying to other school i do want to teach
6255	sadness	my friends are mocking my weekend   have they been talking to you
6256	anger	i want a ghd straightener but the shipping costs 50 pounds no deal
6257	worry	fuck awake at 2 am   i hate sickness
6258	neutral	i cant seem to access restuarant city due to some internet  javascript problem 
6259	worry	pulled in all directions and not knowing where to go
6263	worry	 hope the presentation went well today tweet me if yr on campus tomorrow  ill be around from lunch time onwards
6264	sadness	you wanna know whats worse  my coworker just brewed a fresh cup of coffee and all i can think about is bacon
6266	anger	 ive been waiting about the same time to get in its whenever they feel like it 
6267	anger	son of a bitch my media thing that streams music from home isnt working again  why cant itunes play music from my iphone
6268	worry	 oh no hope its not as bad as it sounds
6271	worry	just found out my abuelo in aguadilla is not doing well
6272	love	 do a tour in the philippines sometime   a lot of fans here would really love that
6273	love	 hey love whats up my voice is shot  whats new with you
6274	worry	trying to get this swimmers ear to go away
6277	worry	exams are kinda near  just a week more  2 projects yet to be submitted  and almost failing in one of the subjects  may allah save me
6281	fun	 i dont feel like having to reboot  if only osx supported hibernate amp reboot in bootcamp   
6282	surprise	i dont think hes ganna text me 
6283	worry	last school day tomorrow it was the funnest day ever  but also really sad  righ ow im getting ready to go to moab with phil
6285	sadness	 i always miss out i wont be able to commence in the foolishness til the fall  but come fall ill be visiting yay
6286	neutral	dreaming of bacon waffles with fresh butter and maple syrup and brewed coffee 
6290	anger	 lol  ive been in bk for over a year  going on 2 and u havent come yet
6292	love	  hope you have a better weekend then 
6294	sadness	sun has been making me happy  shame about work tonight  x
6295	surprise	on the way back to dublin omg didnt hit the bed until 530  so i am so sleepy   but once again on the road back to good ole  dublin p  
6297	neutral	going home but will be back after i get groceries and stuff
6298	sadness	 i feel your pain  mine is the same way
6299	fun	 while im stuck inside in elk grove village working all day   someone should enjoy it
6301	worry	 its so sad i wish i could stay longer it the last time ill see you tonight  better not wear my make up
6302	sadness	sad day in the office  glad its friday  like to get away from this for a while  poor coworker just lost her son 
6303	love	 and the other variable types that we have are not going to be any helpful here  what is the margin of error here
6304	anger	frustrating when u r in the mood but your partner is at work  ugh
6306	sadness	wishes she had a pool
6307	worry	at the redi med  getting checked for strep throat 
6309	fun	found six great vegan places to eat and relax at four of which i cant get to without a car
6310	sadness	soooo not feeling well and i need to get out of bed
6312	worry	im soooo tired i have to study for all of my subjects   history is gonna be so hard gt lt help me
6314	fun	in the university with hungry
6315	sadness	its seriously quiet and lonely here without bunny
6317	worry	fml  i hate css so bad  i cant find an lj layout that has everything i want 
6318	worry	in class sick and hungry
6320	worry	 omg what posts were deleted so annoyed i cant go on forum at work
6321	anger	last friday of highschool thats intense one more test to go economics  ewww man
6322	fun	 crap  now you have to cover the whole purse with those so it looks like a pattern 
6323	worry	i got a replacement phone and now all my text messages and call history are gone   i am sad 
6324	sadness	 nope im nott i was planning on doing but my aunties come over from america and were havin this big family meal so i cant  xx
6325	neutral	 it happened to me the other day customer asked me to ship to her work address i sent her another one
6328	sadness	 thats right  kick me when im down 
6330	anger	ugh i hate not having my car i miss you my little ford focus
6331	worry	 cant do tonight  could kill a pint though  another day 
6334	neutral	 beatrice i dont remember his guide
6335	worry	 im guessing the belt thing is a nogo since i didnt hear back sorry  stop by this weekend well talk bout the ring etc 
6337	sadness	 lots of things nico  gud news i have a job bad news its in the middle of nowhere  got my phone 4 twitter but cnt play videos 
6338	surprise	 hell if i know   im suffering
6340	neutral	i went to go check my phone for messages  then i remembered i dont have a phone anymore
6341	worry	weather is making me gloomy
6343	worry	its so slow and i want to go home already
6345	neutral	blah  work at job one all day and job two all night 
6346	fun	 lol she is okay its just he songs are so catchy they get stuck in my head
6347	worry	im worried because something bad happened today and i dont know whats gonna happen next 
6348	anger	im getting ready for tonight teachers dinner on the beach but its raining and i hate this
6349	worry	45th st pub anyone tonight dont want to be a lonely drunk tonight
6350	worry	is hurt and upset and trying to smile when i feel broken inside
6351	fun	back in manchester  whats with the weather sweaty
6352	surprise	 no  and i remember that one too shit was so fun  i got aladdin  too fun omg  now i wanna play
6353	neutral	 whats wrong with dressing in fifties fashion
6354	worry	the time is not my friend today
6355	fun	 i know dude im doing reruns making jenny watch them now too so we can have conversations lol   havent been online much
6356	neutral	 what time is our conference call
6359	anger	french isnt meant to be taught to asians
6360	fun	 its good theyre realistic but i still dont like thinking about it
6361	fun	finally left the house its gloomy outside 
6363	neutral	i wanna go see the cab really bad 
6366	worry	just found out i have to leave my lovely flat and been waiting 2 5 hours for a plumber  still no job news   not a good day
6367	neutral	 targeted browser for what i just read that windows mobile uses the ie6 core as its default 
6368	anger	damn need to replace macbook display  chf 670 for work and hardware  almost half of the mb price
